arm,target,split_seed,criterion,layer,probe,hg_kind,r2,within_r2,concordance,top1,regret_norm_mean,kendall_tau,val_score,n_params,date,phase,output_path
MDLM_anc,A_pertok,0,within_r2,3,P5_rff_g0.1,hg,0.5153162206301023,0.5396790016345457,0.7741111111111111,0.4266666666666667,0.16120906861082904,0.5482222222222222,0.5434348272225,1025,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P5_rff_cheaponly_g0.1,hg,0.5124329434456318,0.5534966842588962,0.7777777777777778,0.43,0.1541146711390958,0.5555555555555555,0.5440919513233471,1025,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P5_rff_g1,hg,0.43757633192526413,0.4355716632525096,0.7418888888888889,0.395,0.17630153043834507,0.48377777777777775,0.45801220610832694,1025,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P5_rff_cheaponly_g1,hg,0.4715620887555567,0.5027810258548586,0.7583333333333333,0.42,0.16262726253182766,0.5166666666666667,0.508182482927134,1025,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P5_rff_g10,hg,0.0020147416201331536,0.00793850906279503,0.535,0.18666666666666668,0.4117965904582311,0.06999999999999999,0.003540051147177814,1025,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P5_rff_cheaponly_g10,hg,0.003961559414905835,0.011363239221250154,0.5293333333333333,0.18166666666666667,0.42697027125563003,0.05866666666666667,0.023028592422593697,1025,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P5_poly2,hg,0.4953298041191694,0.5145179500570003,0.7567777777777778,0.39166666666666666,0.17704687125684732,0.5135555555555555,0.5269361154617065,11175,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P5_poly2_cheaponly,hg,0.49893534492004665,0.5279216343535813,0.7628888888888888,0.41333333333333333,0.1655145249064625,0.5257777777777778,0.5340729495614938,5151,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P6_boost,hg,0.5358010000953952,0.5767455813647471,0.7825555555555556,0.43833333333333335,0.15067483648948798,0.5651111111111111,0.5642346310453128,-1,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P6_boost_cheaponly,hg,0.5222140602537966,0.5630281578694545,0.7771111111111111,0.415,0.16527607281469933,0.5542222222222222,0.551144201145028,-1,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P7k_pair_kron_d32,hg,0.005098827137448136,0.02845780248030161,0.5654444444444444,0.22,0.3556589582430029,0.1308888888888889,0.05012527547655632,1057,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P7k_pair_hi_d32,hg,0.03347785810470638,0.09640788682948676,0.6148888888888889,0.26,0.29898693032913426,0.22977777777777775,0.08852213761052363,33,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P7_pair_hi,hg,0.018749019925044408,0.07822988850127355,0.6141111111111112,0.24166666666666667,0.3155297135001819,0.22822222222222222,0.07200031471775126,129,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P7_pair_hi_x_hg,hg,0.009908381098051033,0.07419254148052223,0.5971111111111111,0.24,0.31990326533595054,0.1942222222222222,0.0633923378041652,257,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P8_ranknet_cand,hg,0.018659612259153913,0.0771880933035145,0.6103333333333333,0.24166666666666667,0.3249290851654625,0.22066666666666662,0.07457512040603287,33281,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P8_ranknet_cand_state,hg,0.008187262584748889,0.0567891725518761,0.609,0.22333333333333333,0.3280350376784937,0.21800000000000003,0.05426340253856443,66049,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P8_ranknet_cheap,hg,0.2904115802663574,0.5282326136461247,0.7851111111111111,0.45,0.1490043324239524,0.5702222222222221,0.5227448423589754,26113,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P8_ranknet_cheap_hidden,hg,0.2963052689026119,0.46152005696299836,0.7691111111111111,0.41,0.1657630060240353,0.5382222222222222,0.4678827695070449,91649,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P9_list_hidden,hg,0.21922760587701884,0.4689699675467992,0.7635555555555555,0.4,0.17640097770029378,0.5271111111111111,0.4831364336926205,45825,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P9_list_cheap,hg,0.34816920538513807,0.5548432227527313,0.7816666666666666,0.44166666666666665,0.15612191263607803,0.5633333333333334,0.5589998479243674,13057,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P13_pls,hg,0.2149167515770043,0.12354293981436515,0.6133333333333333,0.24333333333333335,0.3038673157279233,0.22666666666666666,0.11388309911695105,-1,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,6,P0_cheap,hg,0.5166937701699063,0.5594392852814021,0.7785555555555556,0.41333333333333333,0.1593822761290729,0.5571111111111111,0.5503232036011703,101,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P0_hi,hg,0.19639133148560184,0.10641259891118082,0.6073333333333333,0.275,0.2975599362772125,0.21466666666666664,0.09821519770028941,769,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P0_hg,hg,-1.2284288011570772,0.0,0.5,0.15166666666666667,0.5055533549805754,nan,0.0,769,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
