tag,group,value,n_rows,n_docs,n_states,A_task_mean,A_task_std,A_task_nonzero_frac,A_task_positive_frac,A_task_negative_frac,Q_reward_mean,V_reward_mean,A_pertok_mean,mask_ratio_mean
taskC,step,126,42,7,7,-0.05952380952380952,0.21691508521772143,0.07142857142857142,0.0,0.07142857142857142,0.5119047619047619,0.5714285714285714,-0.016095132666383245,0.1329470702580043
taskC,step,127,24,4,4,0.125,0.33071891388307384,0.125,0.125,0.0,0.625,0.5,-0.021642489847510642,0.14408458396792412
taskC,step,128,288,48,48,0.0,0.0,0.0,0.0,0.0,0.8125,0.8125,-3.2040432819889654e-05,0.13284325723846754
taskD,prompt_stratum,0,9312,388,1552,-0.01017504295532646,0.16364737172449462,0.07710481099656358,0.02974656357388316,0.04735824742268041,0.5539357817869416,0.564110824742268,-0.010474875198981281,0.3421980487758812
taskD,prompt_stratum,1,4368,182,728,0.007783882783882784,0.2858175000094709,0.25137362637362637,0.13484432234432234,0.11652930402930403,0.5331959706959707,0.5254120879120879,-0.009797626323758421,0.3396024939982773
taskD,step,24,2082,347,347,0.007684918347742555,0.23913924788334387,0.23390970220941404,0.11767531219980788,0.11623439000960614,0.49507684918347744,0.48739193083573484,-0.009826518677055493,0.5365532087833119
taskD,step,25,384,64,64,-0.0016276041666666667,0.27458352813945336,0.2578125,0.12760416666666666,0.13020833333333334,0.5198567708333334,0.521484375,-0.009104555851801796,0.5375431119464338
taskD,step,26,318,53,53,0.03930817610062893,0.24408826503566272,0.22641509433962265,0.1289308176100629,0.09748427672955975,0.6831761006289309,0.6438679245283019,-0.006586259192309857,0.5424223840236664
taskD,step,27,240,40,40,-0.0036458333333333334,0.22861617119670008,0.22916666666666666,0.1,0.12916666666666668,0.6369791666666667,0.640625,-0.006798479637947707,0.5328726582229137
taskD,step,28,120,20,20,-0.023958333333333335,0.2148738930874469,0.10833333333333334,0.041666666666666664,0.06666666666666667,0.6197916666666666,0.64375,-0.00681900742448415,0.531263054907322
taskD,step,29,114,19,19,-0.049342105263157895,0.18408321101617064,0.23684210526315788,0.07894736842105263,0.15789473684210525,0.7269736842105263,0.7763157894736842,-0.006890662703243147,0.5234684238308355
taskD,step,30,90,15,15,0.029166666666666667,0.20837499583416644,0.23333333333333334,0.17777777777777778,0.05555555555555555,0.6791666666666667,0.65,-0.00952288334374316,0.5281436463197072
